NGDC_Ship,NGDC_Cruise,NGDC_Sample,NGDC_Serial,NGDC_Comment,Location,Location Type,Expedition,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,Google Earth Comment Field,serial,,
ground,AV,AV-VCAF04-1A,11,Country: USA / State/Province: New Mexico / County/Region: Sandoval,Alamo Fen,wetland,AV,VCAF,1,A,1A,,AV-VCAF04-1A,ground,20041023,0,USA,New Mexico,Sandoval,Craig Allen,35.91344,-106.58568,2658,exact (read from GPS),Northern AZ U.,Northern AZ U.,core,,0,4,PI,LacCoreID: AV-VCAF04-1A / FieldID:  / Date: 2004-10-23 / Water Depth: 0m / Sediment Depth: 0-4m / Position: exact (read from GPS) / Sample Type: core,382,,1743
ground,AV,AV-VCAF04-2A,12,Country: USA / State/Province: New Mexico / County/Region: Sandoval,Alamo Fen,wetland,AV,VCAF,2,A,2A,,AV-VCAF04-2A,ground,20041023,0,USA,New Mexico,Sandoval,Craig Allen,35.91341,-106.58603,2660,exact (read from GPS),Northern AZ U.,Northern AZ U.,core,,0,5.43,PI,LacCoreID: AV-VCAF04-2A / FieldID:  / Date: 2004-10-23 / Water Depth: 0m / Sediment Depth: 0-5.43m / Position: exact (read from GPS) / Sample Type: core,383,,1744
ground,AV,AV-VCAF04-3A,13,Country: USA / State/Province: New Mexico / County/Region: Sandoval,Alamo Fen,wetland,AV,VCAF,3,A,3A,,AV-VCAF04-3A,ground,20041023,0,USA,New Mexico,Sandoval,Craig Allen,35.91362,-106.5862,2652,exact (read from GPS),Northern AZ U.,Northern AZ U.,core,,0,6.21,PI,LacCoreID: AV-VCAF04-3A / FieldID:  / Date: 2004-10-23 / Water Depth: 0m / Sediment Depth: 0-6.21m / Position: exact (read from GPS) / Sample Type: core,384,,1745
ground,AV,AV-VCAF04-4A,14,Country: USA / State/Province: New Mexico / County/Region: Sandoval,Alamo Fen,wetland,AV,VCAF,4,A,4A,,AV-VCAF04-4A,ground,20041023,0,USA,New Mexico,Sandoval,Craig Allen,35.91365,-106.5867,2648,exact (read from GPS),Northern AZ U.,Northern AZ U.,core,,0,4.3,PI,LacCoreID: AV-VCAF04-4A / FieldID:  / Date: 2004-10-23 / Water Depth: 0m / Sediment Depth: 0-4.3m / Position: exact (read from GPS) / Sample Type: core,385,,1746
unknown,44,44-17596-1A,15,Country: USA / State/Province: Minnesota / County/Region: Freeborn,Albert Lea Lake,lake,44,175,1,A,1A,core 3,44-17596-1A,unknown,19961231,,USA,Minnesota,Freeborn,,43.62,-93.3073,367,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,0,80,Bell,LacCoreID: 44-17596-1A / FieldID: core 3 / Date: 1996-12-31 / Water Depth: m / Sediment Depth: 0-80m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,140,,
unknown,PEAT,PEAT-ALF81-41A,16,Country: Canada / State/Province: Newfoundland / County/Region: ,Alborn Fen,wetland,PEAT,ALF,41,A,41A,8141,PEAT-ALF81-41A,unknown,19811231,,Canada,Newfoundland,,"Paul Glaser, Eville Gorham, Joannes Janssens",47.01667,-92.56667,405,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: PEAT-ALF81-41A / FieldID: 8141 / Date: 1981-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,2976,,4650
unknown,PEAT,PEAT-ALF93-45A,17,Country: Canada / State/Province: Newfoundland / County/Region: ,Alborn Fen,wetland,PEAT,ALF,45,A,45A,9345,PEAT-ALF93-45A,unknown,19931231,,Canada,Newfoundland,,"Paul Glaser, Eville Gorham, Joannes Janssens",47,-92.58333,402,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: PEAT-ALF93-45A / FieldID: 9345 / Date: 1993-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,2977,,4651
ground,PUP,PUP-ALF05-1A,18,Country: USA / State/Province: Minnesota / County/Region: St Louis,Alborn Fen,wetland,PUP,ALF,1,A,1A,,PUP-ALF05-1A,ground,20050902,0,USA,Minnesota,St Louis,"Paul Glaser, Rene Dommain",47.0102,-92.5729,403,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,7.965,PI,LacCoreID: PUP-ALF05-1A / FieldID:  / Date: 2005-09-02 / Water Depth: 0m / Sediment Depth: 0-7.965m / Position: exact (read from GPS) / Sample Type: core,3094,,4682
unknown,COOL,COOL-506-1A,19,Country: USA / State/Province: Montana / County/Region: Lincoln,Alkali Lake,lake,COOL,5,1,A,1A,,COOL-506-1A,unknown,20061231,,USA,Montana,Lincoln,Anna Henderson,48.8344,-115.03992,910,exact (read from GPS),LacCore_CivE,LacCore_CivE,grab,,0,,PI,LacCoreID: COOL-506-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: grab,828,,749
unknown,ABS,ABS-ALLGN09-1A,20,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,1,A,1A,core 1,ABS-ALLGN09-1A,unknown,20090221,0.5,USA,Michigan,Allegan,Ed Hansen,42.53668,-86.023483,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0,5.83,PI,LacCoreID: ABS-ALLGN09-1A / FieldID: core 1 / Date: 2009-02-21 / Water Depth: 0.5m / Sediment Depth: 0-5.83m / Position: exact (read from GPS) / Sample Type: core,221,,2274
unknown,ABS,ABS-ALLGN09-1B,21,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,1,B,1B,core 1A,ABS-ALLGN09-1B,unknown,20090221,0.5,USA,Michigan,Allegan,Ed Hansen,42.53668,-86.023483,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0.5,5.47,PI,LacCoreID: ABS-ALLGN09-1B / FieldID: core 1A / Date: 2009-02-21 / Water Depth: 0.5m / Sediment Depth: 0.5-5.47m / Position: exact (read from GPS) / Sample Type: core,222,,2275
unknown,ABS,ABS-ALLGN09-1C,22,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,1,C,1C,Russian Peat Corer core1,ABS-ALLGN09-1C,unknown,20090221,0.5,USA,Michigan,Allegan,Ed Hansen,42.53668,-86.023483,207,exact (read from GPS),Hope College,Hope College,core,,0,0.43,PI,LacCoreID: ABS-ALLGN09-1C / FieldID: Russian Peat Corer core1 / Date: 2009-02-21 / Water Depth: 0.5m / Sediment Depth: 0-0.43m / Position: exact (read from GPS) / Sample Type: core,223,,2276
unknown,ABS,ABS-ALLGN09-2A,23,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,2,A,2A,core 2,ABS-ALLGN09-2A,unknown,20090222,0.7,USA,Michigan,Allegan,Ed Hansen,42.53685,-86.0241,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0.1,4.08,PI,LacCoreID: ABS-ALLGN09-2A / FieldID: core 2 / Date: 2009-02-22 / Water Depth: 0.7m / Sediment Depth: 0.1-4.08m / Position: exact (read from GPS) / Sample Type: core,224,,2277
unknown,ABS,ABS-ALLGN09-2B,24,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,2,B,2B,core 2A,ABS-ALLGN09-2B,unknown,20090222,0.7,USA,Michigan,Allegan,Ed Hansen,42.53685,-86.0241,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0.6,4.39,PI,LacCoreID: ABS-ALLGN09-2B / FieldID: core 2A / Date: 2009-02-22 / Water Depth: 0.7m / Sediment Depth: 0.6-4.39m / Position: exact (read from GPS) / Sample Type: core,225,,2278
unknown,ABS,ABS-ALLGN09-2C,25,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,2,C,2C,Russian Peat Corer core2,ABS-ALLGN09-2C,unknown,20090222,0.7,USA,Michigan,Allegan,Ed Hansen,42.53685,-86.0241,207,exact (read from GPS),Hope College,Hope College,core,,0.01,0.415,PI,LacCoreID: ABS-ALLGN09-2C / FieldID: Russian Peat Corer core2 / Date: 2009-02-22 / Water Depth: 0.7m / Sediment Depth: 0.01-0.415m / Position: exact (read from GPS) / Sample Type: core,226,,2279
unknown,ABS,ABS-ALLGN09-3A,26,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,3,A,3A,core 3,ABS-ALLGN09-3A,unknown,20090221,1,USA,Michigan,Allegan,Ed Hansen,42.53701667,-86.02481667,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0,4.37,PI,LacCoreID: ABS-ALLGN09-3A / FieldID: core 3 / Date: 2009-02-21 / Water Depth: 1m / Sediment Depth: 0-4.37m / Position: exact (read from GPS) / Sample Type: core,227,,2280
unknown,ABS,ABS-ALLGN09-3B,27,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,3,B,3B,core 3A,ABS-ALLGN09-3B,unknown,20090221,1,USA,Michigan,Allegan,Ed Hansen,42.53701667,-86.02481667,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0.5,4.17,PI,LacCoreID: ABS-ALLGN09-3B / FieldID: core 3A / Date: 2009-02-21 / Water Depth: 1m / Sediment Depth: 0.5-4.17m / Position: exact (read from GPS) / Sample Type: core,228,,2281
unknown,ABS,ABS-ALLGN09-3C,28,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,3,C,3C,Russian Peat Corer core3,ABS-ALLGN09-3C,unknown,20090221,1,USA,Michigan,Allegan,Ed Hansen,42.53701667,-86.02481667,207,exact (read from GPS),Hope College,Hope College,core,,0,0.39,PI,LacCoreID: ABS-ALLGN09-3C / FieldID: Russian Peat Corer core3 / Date: 2009-02-21 / Water Depth: 1m / Sediment Depth: 0-0.39m / Position: exact (read from GPS) / Sample Type: core,229,,2282
unknown,ABS,ABS-ALLGN09-4A,29,Country: USA / State/Province: Michigan / County/Region: Allegan,Allegan Bog,wetland,ABS,ALLGN,4,A,4A,core 4,ABS-ALLGN09-4A,unknown,20090222,0.9,USA,Michigan,Allegan,Ed Hansen,42.5367333,-86.02205167,207,exact (read from GPS),Hope College,LacCore_MRPH,core,,0,1.02,PI,LacCoreID: ABS-ALLGN09-4A / FieldID: core 4 / Date: 2009-02-22 / Water Depth: 0.9m / Sediment Depth: 0-1.02m / Position: exact (read from GPS) / Sample Type: core,230,,2283
ice,NH,NH-AQ07-1A,30,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Allequash Lake,lake,NH,AQ,1,A,1A,,NH-AQ07-1A,ice,20071231,,USA,Wisconsin,Vilas,Randy Calcote,46.03836,-89.61876,494,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-AQ07-1A / FieldID:  / Date: 2007-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,2802,,4756
ice,ABBA,ABBA-AM99-1A,31,Country: USA / State/Province: Vermont / County/Region: Windsor,Amherst Lake,lake,ABBA,AM,1,A,1A,,ABBA-AM99-1A,ice,19991231,,USA,Vermont,Windsor,"Anders Noren, Paul Bierman, Andrea Lini",43.48872,-72.70349,326,exact (read from GPS),UVM,UVM,core,,,,PI,LacCoreID: ABBA-AM99-1A / FieldID:  / Date: 1999-12-31 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,205,,462
unknown,JAX,JAX-AND07-1A,32,Country: USA / State/Province: Tennessee / County/Region: Larue,Anderson Lake,lake,JAX,AND,1,A,1A,Anderson C1,JAX-AND07-1A,unknown,20071231,,USA,Tennessee,Larue,Steve Jackson,36.033333,-85.5,258,exact (read from GPS),University of Wyoming-Laramie,University of Wyoming-Laramie,core,,,,PI,LacCoreID: JAX-AND07-1A / FieldID: Anderson C1 / Date: 2007-12-31 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,2058,,5326
unknown,JAX,JAX-AND07-1B,33,Country: USA / State/Province: Tennessee / County/Region: Larue,Anderson Lake,lake,JAX,AND,1,B,1B,Anderson C2,JAX-AND07-1B,unknown,20071231,,USA,Tennessee,Larue,Steve Jackson,36.033333,-85.5,258,exact (read from GPS),University of Wyoming-Laramie,University of Wyoming-Laramie,core,,,,PI,LacCoreID: JAX-AND07-1B / FieldID: Anderson C2 / Date: 2007-12-31 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,2059,,5327
unknown,COOL,COOL-606-1A,34,Country: USA / State/Province: Colorado / County/Region: San Juan,Andrew's Lake,lake,COOL,6,1,A,1A,,COOL-606-1A,unknown,20061231,,USA,Colorado,San Juan,Anna Henderson,37.72784,-107.70969,3276,exact (read from GPS),LacCore_CivE,LacCore_CivE,grab,,0,,PI,LacCoreID: COOL-606-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: grab,829,,704
unknown,VENZ,VENZ-ANJO07-1A,35,Country: Venezuela / State/Province: Mérida / County/Region: Mérida,Anteojos,lake,VENZ,ANJO,1,A,1A,Anteojos ,VENZ-ANJO07-1A,unknown,20071231,,Venezuela,Mérida,Mérida,Mark Abbott,8.538,-71.074,3906,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,,,,LacCoreID: VENZ-ANJO07-1A / FieldID: Anteojos  / Date: 2007-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3682,,3855
unknown,CLO1,CLO1-ANT04-1B,36,Country: USA / State/Province: Oregon / County/Region: Baker,Anthony Lake,lake,CLO1,ANT,1,B,1B,Anthony04-B,CLO1-ANT04-1B,unknown,20040726,8.4,USA,Oregon,Baker,Colin Long,44.9606,-118.2297,2182,general (location within lake/site unknown or not digitized),U.WI-Oshkosh,U.WI-Oshkosh,core,,0,2.82,PI,LacCoreID: CLO1-ANT04-1B / FieldID: Anthony04-B / Date: 2004-07-26 / Water Depth: 8.43m / Sediment Depth: 0-2.82m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,750,,1723
unknown,IN1,IN1-APPL05-1A,37,Country: USA / State/Province: Indiana / County/Region: Lagrange,Appleman Lake,lake,IN1,APPL,1,A,1A,,IN1-APPL05-1A,unknown,20051231,,USA,Indiana,Lagrange,Jack Williams,41.62381,-85.21544,295,exact (read from GPS),U.WI-Madison,LacCore_CivE,core,,0,,PI,LacCoreID: IN1-APPL05-1A / FieldID:  / Date: 2005-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,1948,,2659
unknown,IN1,IN1-APPL05-1B,38,Country: USA / State/Province: Indiana / County/Region: Lagrange,Appleman Lake,lake,IN1,APPL,1,B,1B,,IN1-APPL05-1B,unknown,20051231,,USA,Indiana,Lagrange,Jack Williams,41.62381,-85.21544,295,exact (read from GPS),U.WI-Madison,LacCore_CivE,core,,,,PI,LacCoreID: IN1-APPL05-1B / FieldID:  / Date: 2005-12-31 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,1949,,2660
unknown,IN2,IN2-APPL06-3A,39,Country: USA / State/Province: Indiana / County/Region: Lagrange,Appleman Lake,lake,IN2,APPL,3,A,3A,Apple A3,IN2-APPL06-3A,unknown,20061231,,USA,Indiana,Lagrange,Jack Williams,41.6234,-85.2129,295,general (location within lake/site unknown or not digitized),U.WI-Madison,LacCore_CivE,core,,0,,PI,LacCoreID: IN2-APPL06-3A / FieldID: Apple A3 / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1950,,2661
unknown,IN2,IN2-APPL06-4A,40,Country: USA / State/Province: Indiana / County/Region: Lagrange,Appleman Lake,lake,IN2,APPL,4,A,4A,Apple A4,IN2-APPL06-4A,unknown,20061231,,USA,Indiana,Lagrange,Jack Williams,41.6234,-85.2129,295,general (location within lake/site unknown or not digitized),U.WI-Madison,LacCore_CivE,core,,0,,PI,LacCoreID: IN2-APPL06-4A / FieldID: Apple A4 / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1951,,2662
ground,AQABA,AQABA-AQA04-1C,41,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,C,1C,CA-3-1,AQABA-AQA04-1C,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,4.07,PI,LacCoreID: AQABA-AQA04-1C / FieldID: CA-3-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-4.07m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,338,,260
ground,AQABA,AQABA-AQA04-1D,42,Country: USA / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,D,1D,CA-4-1,AQABA-AQA04-1D,ground,20041231,0,USA,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,1.79,PI,LacCoreID: AQABA-AQA04-1D / FieldID: CA-4-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-1.79m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,339,,261
ground,AQABA,AQABA-AQA04-1E,43,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,E,1E,CA-5-1,AQABA-AQA04-1E,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,2.06,PI,LacCoreID: AQABA-AQA04-1E / FieldID: CA-5-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-2.06m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,340,,262
ground,AQABA,AQABA-AQA04-1F,44,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,F,1F,CA-6-1,AQABA-AQA04-1F,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,,PI,LacCoreID: AQABA-AQA04-1F / FieldID: CA-6-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,341,,263
ground,AQABA,AQABA-AQA04-1G,45,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,G,1G,CA-7-1,AQABA-AQA04-1G,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,1.695,PI,LacCoreID: AQABA-AQA04-1G / FieldID: CA-7-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-1.695m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,342,,264
ground,AQABA,AQABA-AQA04-1H,46,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,H,1H,CA-8-1,AQABA-AQA04-1H,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,0.47,PI,LacCoreID: AQABA-AQA04-1H / FieldID: CA-8-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-0.47m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,343,,265
ground,AQABA,AQABA-AQA04-1I,47,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,I,1I,CA-9-1,AQABA-AQA04-1I,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,2.925,PI,LacCoreID: AQABA-AQA04-1I / FieldID: CA-9-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-2.925m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,344,,266
ground,AQABA,AQABA-AQA04-1J,48,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,J,1J,CS-10-1,AQABA-AQA04-1J,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,2.44,PI,LacCoreID: AQABA-AQA04-1J / FieldID: CS-10-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-2.44m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,345,,267
ground,AQABA,AQABA-AQA04-1K,49,Country: Jordan / State/Province:  / County/Region: ,Aqaba,paleolake,AQABA,AQA,1,K,1K,CA-11-1,AQABA-AQA04-1K,ground,20041231,0,Jordan,,,"Alivia Allison, Molly Davies",29.58333,35.01667,69,general (location within lake/site unknown or not digitized),U.MO-Kansas City,U.MO-Kansas City,core,,0,3.32,PI,LacCoreID: AQABA-AQA04-1K / FieldID: CA-11-1 / Date: 2004-12-31 / Water Depth: 0m / Sediment Depth: 0-3.32m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,346,,268
